datetime,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Air_Temperature_celsius,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Snowfall_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
2020-03-12T05:00:00Z,0,-999,-3.6,85,10.8,-999,-999,98393
2020-03-12T06:00:00Z,0,-999,-3.5,82.2,11.6,-999,-999,98393
2020-03-12T07:00:00Z,-1,-999,-3.3,78.5,10.6,-999,-999,98393
2020-03-12T08:00:00Z,13,-999,-3.1,76.6,8.9,-999,-999,98393
2020-03-12T09:00:00Z,92,-999,-2.9,74.7,9.5,-999,-999,98393
2020-03-12T10:00:00Z,187,-999,-2.5,71.8,9.1,-999,-999,98393
2020-03-12T11:00:00Z,270,-999,-2.2,71.4,9,-999,-999,98393
2020-03-12T12:00:00Z,544,-999,-1,64,9,-999,-999,98393
2020-03-12T13:00:00Z,568,-999,-0.3,60.6,8.4,-999,-999,98393
2020-03-12T14:00:00Z,445,-999,-0.1,57.6,8.1,-999,-999,98393
2020-03-12T15:00:00Z,500,-999,0.5,52,7.9,-999,-999,98393
2020-03-12T16:00:00Z,192,-999,-0.1,51.5,6,-999,-999,98393
2020-03-12T17:00:00Z,133,-999,0,46,5.5,-999,-999,98393
2020-03-12T18:00:00Z,69,-999,-0.3,56.8,6,-999,-999,98393
2020-03-12T19:00:00Z,16,-999,-0.6,61.9,5.9,-999,-999,98393
2020-03-12T20:00:00Z,-1,-999,-0.6,60.8,6,-999,-999,98393
2020-03-12T21:00:00Z,-3,-999,-0.6,58.8,5.5,-999,-999,98393
2020-03-12T22:00:00Z,-3,-999,-0.7,59.7,7.8,-999,-999,98393
2020-03-12T23:00:00Z,-3,-999,-0.7,61.6,8.6,-999,-999,98393
2020-03-13T00:00:00Z,-3,-999,-0.9,63,7.3,-999,-999,98393
2020-03-13T01:00:00Z,-3,-999,-1,63.5,6.9,-999,-999,98393
2020-03-13T02:00:00Z,-3,-999,-1.2,63.9,6.6,-999,-999,98393
2020-03-13T03:00:00Z,-3,-999,-1.5,63.8,4.7,-999,-999,98393
2020-03-13T04:00:00Z,-4,-999,-1.4,54.6,4.2,-999,-999,98393
2020-03-13T05:00:00Z,-3,-999,-1.1,45.6,2.9,-999,-999,98393
2020-03-13T06:00:00Z,-2,-999,-5.4,72.9,1.8,-999,-999,98393
2020-03-13T07:00:00Z,-2,-999,-5.6,76.1,0.4,-999,-999,98393
2020-03-13T08:00:00Z,12,-999,-5.8,79.2,0.2,-999,-999,98393
2020-03-13T09:00:00Z,33,-999,-4.2,76.1,0.1,-999,-999,98393
2020-03-13T10:00:00Z,101,-999,-4.1,82.2,0.1,-999,-999,98393
2020-03-13T11:00:00Z,276,-999,-1.8,79.2,0.9,-999,-999,98393
2020-03-13T12:00:00Z,154,-999,-4.5,92.6,1.4,-999,-999,98393
