datetime,Depth_meter,Water_Temperature_celsius
2016-07-14T20:30:00Z,0.5,8.04
2016-07-14T20:30:00Z,2.0,7.5
2016-07-14T20:30:00Z,4.0,7.38
2016-07-14T20:30:00Z,6.0,7.38
2016-07-14T20:30:00Z,7.0,7.24
2016-07-14T21:00:00Z,0.5,8.1
2016-07-14T21:00:00Z,2.0,7.5
2016-07-14T21:00:00Z,4.0,7.38
2016-07-14T21:00:00Z,6.0,7.38
2016-07-14T21:00:00Z,7.0,7.16
2016-07-14T21:30:00Z,0.5,8.3
2016-07-14T21:30:00Z,2.0,7.5
2016-07-14T21:30:00Z,4.0,7.38
2016-07-14T21:30:00Z,6.0,7.38
2016-07-14T21:30:00Z,7.0,7.24
2016-07-14T22:00:00Z,0.5,8.38
2016-07-14T22:00:00Z,2.0,7.75
2016-07-14T22:00:00Z,4.0,7.88
2016-07-14T22:00:00Z,6.0,7.63
2016-07-14T22:00:00Z,7.0,7.24
2016-07-14T22:30:00Z,0.5,8.32
2016-07-14T22:30:00Z,2.0,7.75
2016-07-14T22:30:00Z,4.0,7.88
2016-07-14T22:30:00Z,6.0,7.63
2016-07-14T22:30:00Z,7.0,7.36
2016-07-14T23:00:00Z,0.5,8.4
2016-07-14T23:00:00Z,2.0,7.75
2016-07-14T23:00:00Z,4.0,7.88
2016-07-14T23:00:00Z,6.0,7.63
2016-07-14T23:00:00Z,7.0,7.88
2016-07-14T23:30:00Z,0.5,8.52
2016-07-14T23:30:00Z,2.0,7.75
2016-07-14T23:30:00Z,4.0,7.88
2016-07-14T23:30:00Z,6.0,7.63
2016-07-14T23:30:00Z,7.0,8.16
2016-07-15T00:00:00Z,0.5,8.34
2016-07-15T00:00:00Z,2.0,7.63
2016-07-15T00:00:00Z,4.0,8
2016-07-15T00:00:00Z,6.0,7.5
2016-07-15T00:00:00Z,7.0,7.98
2016-07-15T00:30:00Z,0.5,8.28
2016-07-15T00:30:00Z,2.0,7.63
2016-07-15T00:30:00Z,4.0,8
2016-07-15T00:30:00Z,6.0,7.5
2016-07-15T00:30:00Z,7.0,7.96
2016-07-15T01:00:00Z,0.5,8.26
2016-07-15T01:00:00Z,2.0,7.63
2016-07-15T01:00:00Z,4.0,8
2016-07-15T01:00:00Z,6.0,7.5
2016-07-15T01:00:00Z,7.0,7.86
2016-07-15T01:30:00Z,0.5,8.18
2016-07-15T01:30:00Z,2.0,7.63
2016-07-15T01:30:00Z,4.0,8
