datetime,Depth_meter,Dissolved_oxygen_gram_per_cubicMeter
2016-07-19T13:30:00Z,0.5,7.204
2016-07-19T13:30:00Z,4.5,7.578
2016-07-19T14:00:00Z,0.5,7.328
2016-07-19T14:00:00Z,4.5,7.64
2016-07-19T14:30:00Z,0.5,7.418
2016-07-19T14:30:00Z,4.5,7.698
2016-07-19T15:00:00Z,0.5,7.396
2016-07-19T15:00:00Z,4.5,7.733
2016-07-19T15:30:00Z,0.5,7.376
2016-07-19T15:30:00Z,4.5,7.749
2016-07-19T16:00:00Z,0.5,7.383
2016-07-19T16:00:00Z,4.5,7.767
2016-07-19T16:30:00Z,0.5,7.424
2016-07-19T16:30:00Z,4.5,7.77
2016-07-19T17:00:00Z,0.5,7.412
2016-07-19T17:00:00Z,4.5,7.786
2016-07-19T17:30:00Z,0.5,7.442
2016-07-19T17:30:00Z,4.5,7.794
2016-07-19T18:00:00Z,0.5,7.408
2016-07-19T18:00:00Z,4.5,7.781
2016-07-19T18:30:00Z,0.5,7.432
2016-07-19T18:30:00Z,4.5,7.837
2016-07-19T19:00:00Z,0.5,7.453
2016-07-19T19:00:00Z,4.5,7.827
2016-07-19T19:30:00Z,0.5,7.454
2016-07-19T19:30:00Z,4.5,7.808
2016-07-19T20:00:00Z,0.5,7.449
2016-07-19T20:00:00Z,4.5,7.813
2016-07-19T20:30:00Z,0.5,7.451
2016-07-19T20:30:00Z,4.5,7.82
2016-07-19T21:00:00Z,0.5,7.441
2016-07-19T21:00:00Z,4.5,7.814
2016-07-19T21:30:00Z,0.5,7.419
2016-07-19T21:30:00Z,4.5,7.824
2016-07-19T22:00:00Z,0.5,7.398
2016-07-19T22:00:00Z,4.5,7.823
2016-07-19T22:30:00Z,0.5,7.394
2016-07-19T22:30:00Z,4.5,7.673
2016-07-19T23:00:00Z,0.5,7.364
2016-07-19T23:00:00Z,4.5,7.514
2016-07-19T23:30:00Z,0.5,7.32
2016-07-19T23:30:00Z,4.5,7.413
2016-07-20T00:00:00Z,0.5,7.303
2016-07-20T00:00:00Z,4.5,7.372
2016-07-20T00:30:00Z,0.5,7.283
2016-07-20T00:30:00Z,4.5,7.358
2016-07-20T01:00:00Z,0.5,7.281
2016-07-20T01:00:00Z,4.5,7.292
2016-07-20T01:30:00Z,0.5,7.252
2016-07-20T01:30:00Z,4.5,7.368
2016-07-20T02:00:00Z,0.5,7.197
2016-07-20T02:00:00Z,4.5,7.407
2016-07-20T02:30:00Z,0.5,7.191
2016-07-20T02:30:00Z,4.5,7.246
2016-07-20T03:00:00Z,0.5,7.16
2016-07-20T03:00:00Z,4.5,7.336
2016-07-20T03:30:00Z,0.5,7.128
2016-07-20T03:30:00Z,4.5,7.408
2016-07-20T04:00:00Z,0.5,7.064
2016-07-20T04:00:00Z,4.5,7.358
2016-07-20T04:30:00Z,0.5,7.044
2016-07-20T04:30:00Z,4.5,7.337
2016-07-20T05:00:00Z,0.5,7.023
2016-07-20T05:00:00Z,4.5,7.295
2016-07-20T05:30:00Z,0.5,7
2016-07-20T05:30:00Z,4.5,7.295
2016-07-20T06:00:00Z,0.5,6.972
2016-07-20T06:00:00Z,4.5,7.26
2016-07-20T06:30:00Z,0.5,6.962
2016-07-20T06:30:00Z,4.5,7.243
