"datetime","diffM2s-2_0","diffM2s-2_0.5","diffM2s-2_1","diffM2s-2_1.5","diffM2s-2_2","diffM2s-2_2.5","diffM2s-2_3","diffM2s-2_3.5","diffM2s-2_4","diffM2s-2_4.5","diffM2s-2_5","diffM2s-2_5.5","diffM2s-2_6","diffM2s-2_6.5","diffM2s-2_7","diffM2s-2_7.5","diffM2s-2_8","diffM2s-2_8.5","diffM2s-2_9","diffM2s-2_9.5","diffM2s-2_10","diffM2s-2_10.5","diffM2s-2_11","diffM2s-2_11.5","diffM2s-2_12","diffM2s-2_12.5","diffM2s-2_13","diffM2s-2_13.5","diffM2s-2_14","diffM2s-2_14.5","diffM2s-2_15","diffM2s-2_15.5","diffM2s-2_16","diffM2s-2_16.5","diffM2s-2_17","diffM2s-2_17.5","diffM2s-2_18","diffM2s-2_18.5","diffM2s-2_19","diffM2s-2_19.5","diffM2s-2_20","diffM2s-2_20.5","diffM2s-2_21","diffM2s-2_21.5","diffM2s-2_22","diffM2s-2_22.5","diffM2s-2_23","diffM2s-2_23.5","diffM2s-2_24","diffM2s-2_24.5","diffM2s-2_25"
2009-06-04 10:00:00,6.3525e-05,0.00013794,0.00017241,0.00023417,0.00027818,0.00024151,0.00034226,0.00022407,8.9021e-05,6.4158e-05,1.025e-06,1.0484e-06,9.6156e-07,1.0575e-06,1.2204e-06,1.2247e-06,1.2899e-06,1.433e-06,1.6608e-06,2.0046e-06,2.7433e-06,3.5098e-06,4.9432e-06,6.9145e-06,9.4322e-06,1.2837e-05,1.7159e-05,2.2637e-05,2.9865e-05,4.0792e-05,4.3242e-05,9.6706e-05,4.1481e-05,0.00017857,6.5947e-05,0.00027291,0.0002904,0.00031543,0.00039954,0.00048531,0.00055701,0.00061571,0.00066704,0.00070801,0.00073456,0.00072323,0.00068791,0.00078534,0.0020018,0.0042866,0.0015574
2009-06-04 11:00:02,0.00028176,0.00031015,0.00017505,6.761e-05,2.0928e-05,3.4649e-05,3.4658e-05,6.0786e-05,0.00016892,5.3575e-05,4.0244e-06,8.7864e-07,9.2366e-07,1.0254e-06,1.1879e-06,1.1963e-06,1.2629e-06,1.4061e-06,1.6343e-06,1.98e-06,2.7191e-06,3.5171e-06,4.9743e-06,6.9514e-06,9.4061e-06,1.2699e-05,1.7031e-05,2.2855e-05,3.0921e-05,4.1866e-05,6.0233e-05,4.1003e-05,0.00014433,4.9561e-05,0.00025336,0.00012987,0.00023166,0.00036379,0.00043761,0.00049532,0.00055342,0.0006094,0.00066214,0.00070514,0.0007331,0.00072252,0.00068743,0.00078484,0.0020005,0.004284,0.0015564
2009-06-04 11:59:57,7.3466e-05,9.1785e-05,8.3465e-05,5.973e-05,1.0732e-05,4.1828e-06,1.0749e-05,3.0579e-05,1.7299e-06,2.888e-05,8.1054e-06,6.086e-07,8.3359e-07,9.4916e-07,1.0987e-06,1.1096e-06,1.1754e-06,1.3161e-06,1.5415e-06,1.8847e-06,2.5983e-06,3.423e-06,4.8844e-06,6.849e-06,9.2662e-06,1.2513e-05,1.6975e-05,2.3315e-05,3.2228e-05,4.4832e-05,4.8105e-05,0.00010649,4.0238e-05,0.00019159,6.4595e-05,0.00027215,0.000284,0.00030684,0.00039078,0.00047716,0.00054981,0.0006097,0.00066226,0.00070444,0.00073199,0.00072147,0.00068664,0.00078417,0.0019989,0.0042806,0.001555
2009-06-04 13:00:00,0.00023861,0.00027934,8.2423e-05,1.4915e-05,4.3976e-06,5.2503e-07,1.1952e-06,8.4545e-07,1.1939e-06,8.7576e-06,8.0112e-06,4.2507e-07,7.5915e-07,8.8555e-07,1.0261e-06,1.0394e-06,1.1039e-06,1.24e-06,1.4585e-06,1.7927e-06,2.4754e-06,3.3065e-06,4.7632e-06,6.6972e-06,9.0925e-06,1.2373e-05,1.7088e-05,2.3978e-05,3.3488e-05,4.562e-05,6.3486e-05,4.0053e-05,0.00014958,4.316e-05,0.00024876,0.00012378,0.00022364,0.00035151,0.00042248,0.00048048,0.00054092,0.00059989,0.00065529,0.0007004,0.0007299,0.00072041,0.00068602,0.00078361,0.0019978,0.0042782,0.0015543
2009-06-04 14:00:02,3.1519e-05,4.4064e-05,8.0937e-05,3.3547e-05,2.44e-06,6.232e-07,7.073e-07,4.87e-07,1.156e-06,4.3978e-06,4.7824e-06,3.3573e-07,6.7127e-07,8.0416e-07,9.3011e-07,9.4486e-07,1.0072e-06,1.1377e-06,1.3479e-06,1.6698e-06,2.3087e-06,3.1248e-06,4.5403e-06,6.4324e-06,8.8602e-06,1.2257e-05,1.7274e-05,2.4606e-05,3.4433e-05,4.6383e-05,4.6973e-05,0.00010645,3.2636e-05,0.00017948,5.55e-05,0.00025497,0.00026667,0.00029024,0.00037514,0.00046331,0.00053814,0.00060038,0.00065523,0.00069943,0.0007286,0.00071928,0.00068525,0.000783,0.0019962,0.0042746,0.0015529
2009-06-04 14:59:57,0.00020692,0.00023968,3.3838e-05,2.8179e-05,3.9929e-06,5.9239e-07,6.5512e-07,5.3339e-07,1.3276e-06,2.4905e-06,3.0423e-06,3.2276e-07,6.2744e-07,7.7696e-07,8.9142e-07,9.0801e-07,9.6103e-07,1.0858e-06,1.2886e-06,1.5977e-06,2.2065e-06,2.9918e-06,4.3534e-06,6.2031e-06,8.6897e-06,1.2245e-05,1.7546e-05,2.5055e-05,3.4469e-05,4.4655e-05,6.1285e-05,3.3158e-05,0.00013124,3.291e-05,0.00022254,0.00011136,0.0002091,0.00033339,0.00040406,0.00046472,0.00052886,0.00059122,0.00064914,0.000696,0.0007267,0.00071811,0.00068438,0.00078211,0.0019942,0.0042705,0.0015513
2009-06-04 16:00:00,1.4721e-05,1.9522e-05,0.00010824,1.9053e-05,5.6109e-06,5.8254e-07,5.9516e-07,6.196e-07,1.4455e-06,1.9207e-06,2.1305e-06,2.7545e-07,5.5518e-07,7.1877e-07,8.2642e-07,8.4379e-07,8.9785e-07,1.0176e-06,1.2152e-06,1.5152e-06,2.0928e-06,2.8455e-06,4.1406e-06,5.9656e-06,8.5499e-06,1.2257e-05,1.7705e-05,2.5064e-05,3.3961e-05,4.3154e-05,3.9786e-05,9.4281e-05,2.5179e-05,0.00014463,4.4938e-05,0.00023408,0.00024846,0.00027583,0.00036331,0.0004535,0.00052989,0.00059355,0.00064966,0.00069492,0.00072496,0.00071645,0.00068309,0.00078092,0.0019915,0.0042648,0.0015489
2009-06-04 17:00:02,0.00011092,0.0001243,4.815e-06,2.3575e-05,5.7633e-06,6.5792e-07,5.8746e-07,7.2662e-07,1.5506e-06,1.8018e-06,1.7115e-06,2.8783e-07,5.3644e-07,7.1056e-07,8.223e-07,8.4203e-07,8.9661e-07,1.0055e-06,1.2008e-06,1.4954e-06,2.0635e-06,2.7888e-06,4.0431e-06,5.8699e-06,8.5107e-06,1.2332e-05,1.7749e-05,2.4677e-05,3.2227e-05,3.8882e-05,5.4921e-05,2.6179e-05,0.000101,2.8737e-05,0.00019074,9.9764e-05,0.0001986,0.00032205,0.00039405,0.0004575,0.00052395,0.00058746,0.00064574,0.00069268,0.00072354,0.00071534,0.00068213,0.00077988,0.0019894,0.0042604,0.0015475
2009-06-04 17:59:57,4.6954e-05,5.2273e-05,2.775e-05,8.358e-06,5.2521e-06,6.4126e-07,5.2029e-07,7.7272e-07,1.5794e-06,1.7583e-06,1.4669e-06,2.4994e-07,4.7937e-07,6.6496e-07,7.7177e-07,7.9261e-07,8.4784e-07,9.6667e-07,1.1616e-06,1.4556e-06,2.0125e-06,2.7246e-06,3.9562e-06,5.8134e-06,8.4833e-06,1.2336e-05,1.7516e-05,2.3661e-05,3.0203e-05,3.7159e-05,3.2087e-05,7.7662e-05,2.5766e-05,0.00011876,4.3214e-05,0.00022932,0.00024186,0.00027331,0.00036367,0.0004544,0.00053015,0.00059303,0.0006485,0.00069329,0.0007231,0.0007146,0.00068145,0.00077915,0.0019875,0.0042561,0.001546
2009-06-04 19:00:00,0.00013738,0.0001625,4.3299e-05,1.0191e-05,3.7122e-06,7.0242e-07,5.2137e-07,8.4643e-07,1.6246e-06,1.7901e-06,1.3467e-06,2.6515e-07,4.7317e-07,6.6617e-07,7.797e-07,8.029e-07,8.5949e-07,9.7287e-07,1.1693e-06,1.465e-06,2.0281e-06,2.7392e-06,3.9881e-06,5.8683e-06,8.528e-06,1.2296e-05,1.7056e-05,2.2305e-05,2.7906e-05,3.2796e-05,4.8687e-05,2.6102e-05,8.9822e-05,3.5765e-05,0.0001827,9.8378e-05,0.00020449,0.000331,0.00040355,0.00046713,0.00053229,0.00059348,0.00064935,0.00069428,0.00072371,0.00071464,0.00068105,0.0007784,0.0019853,0.0042516,0.0015443
