"datetime","diffM2s-2_0","diffM2s-2_1","diffM2s-2_2","diffM2s-2_3","diffM2s-2_4","diffM2s-2_5","diffM2s-2_6","diffM2s-2_7","diffM2s-2_8","diffM2s-2_9","diffM2s-2_10","diffM2s-2_11","diffM2s-2_12","diffM2s-2_13","diffM2s-2_14","diffM2s-2_15","diffM2s-2_16","diffM2s-2_17","diffM2s-2_18","diffM2s-2_19","diffM2s-2_20","diffM2s-2_21","diffM2s-2_22","diffM2s-2_23","diffM2s-2_24","diffM2s-2_25"
2009-06-04 14:00:00,1.09999997999211e-09,4.02055684389779e-06,9.38177390708006e-06,1.57114814101078e-05,1.51785939124238e-05,9.02158126336872e-06,7.25645804777741e-06,6.88191403241944e-06,7.04938838680391e-06,7.54327879803895e-06,8.44364603835857e-06,9.57841029958217e-06,1.08300228021108e-05,1.24496973512578e-05,1.43043721436698e-05,1.70037574207527e-05,2.03989648071001e-05,2.49668928518076e-05,3.13439404635574e-05,3.91779467463493e-05,4.93918669235427e-05,6.43133880657842e-05,9.05954620975535e-05,0.000164729892276227,0.000284291716525331,0.000311191251967102
2009-06-04 15:00:00,1.09999997999211e-09,4.22661230459198e-06,8.61511739458365e-06,1.44577488754294e-05,1.44026244015549e-05,9.04586204342195e-06,7.24195956536278e-06,6.86600060362252e-06,7.0372118443629e-06,7.5340692546888e-06,8.43313046061667e-06,9.56666553975083e-06,1.08179442577239e-05,1.24371340461948e-05,1.4290993931354e-05,1.69880368048325e-05,2.03795489142067e-05,2.49416216320242e-05,3.13091877615079e-05,3.91300927731209e-05,4.93245443067281e-05,6.42116228846135e-05,9.04212101886515e-05,0.000164351004059426,0.000283394620055333,0.000310977542540058
2009-06-04 16:00:00,1.09999997999211e-09,4.10562438446505e-06,8.08182130640489e-06,1.36292646857328e-05,1.38531986522139e-05,9.04961279957206e-06,7.23176162864547e-06,6.85381178300304e-06,7.02760894455423e-06,7.52698929318285e-06,8.42468352857395e-06,9.55694895310444e-06,1.08078156699776e-05,1.24265479826136e-05,1.42796288855607e-05,1.69746217579814e-05,2.03628706003656e-05,2.49198592428002e-05,3.12793918055831e-05,3.90891982533503e-05,4.926735709887e-05,6.41267979517579e-05,9.02854517335072e-05,0.000164128650794737,0.000282821216387674,0.000310814823023975
2009-06-04 17:00:00,1.09999997999211e-09,3.99451585053612e-06,7.68613858781464e-06,1.297399012401e-05,1.33945682136982e-05,9.04466287465766e-06,7.22562003829808e-06,6.84495444147615e-06,7.02034208188707e-06,7.5218435995339e-06,8.4181183410692e-06,9.54907727646059e-06,1.07994642348785e-05,1.24177622637944e-05,1.42701005643175e-05,1.69633012774284e-05,2.03486861209967e-05,2.49012946369476e-05,3.12540987579268e-05,3.90546319977148e-05,4.92194030812243e-05,6.4057405325002e-05,9.01831917872187e-05,0.000164016280905344,0.000282479741144925,0.00031071194098331
2009-06-04 18:00:00,1.09999997999211e-09,4.07868196816707e-06,7.48241859582777e-06,1.25968917927821e-05,1.3101884178468e-05,9.05456226973911e-06,7.22938852959487e-06,6.84278575135977e-06,7.01795852364739e-06,7.52076812204905e-06,8.41543669594103e-06,9.54500501393341e-06,1.07947935248376e-05,1.24127127492102e-05,1.42644107654633e-05,1.69563363670022e-05,2.03396793949651e-05,2.48893329626299e-05,3.12379861497902e-05,3.90329223591834e-05,4.9190102799912e-05,6.40182843199e-05,9.01410603546537e-05,0.000164066645083949,0.000282484732451849,0.000310716306557879
2009-06-04 19:00:00,1.09999997999211e-09,3.96087648368848e-06,7.3736700869631e-06,1.23605095723178e-05,1.29039044622914e-05,9.07400590222096e-06,7.24016831554763e-06,6.84546330376179e-06,7.01911426403967e-06,7.52264440961881e-06,8.41558085085126e-06,9.54369761529961e-06,1.07927999124513e-05,1.24103780763107e-05,1.42615085678699e-05,1.69525328601594e-05,2.03344352485146e-05,2.48821706918534e-05,3.12285383188282e-05,3.90205641451757e-05,4.9174394007423e-05,6.4001282225945e-05,9.01419625733979e-05,0.000164217948622536,0.000282718930975534,0.00031079284963198
2009-06-04 20:00:00,1.09999997999211e-09,6.19529282630538e-06,7.38628455110302e-06,1.22852320600941e-05,1.28121873785858e-05,9.11026018002303e-06,7.2596192239871e-06,6.85382542542357e-06,7.02444549460779e-06,7.52800383452268e-06,8.4190414781915e-06,9.54563029154087e-06,1.07939481495123e-05,1.24112284538569e-05,1.42618869176658e-05,1.69524391822051e-05,2.03336066988413e-05,2.48806336458074e-05,3.12268675770611e-05,3.90190962207271e-05,4.91744831379037e-05,6.40096113784239e-05,9.01897656149231e-05,0.000164469922310673,0.000283197980024852,0.000310943665681407
2009-06-04 21:00:00,1.09999997999211e-09,2.77529607046745e-05,7.3878773036995e-06,1.2197388059576e-05,1.27184580378525e-05,9.14055453904439e-06,7.27904921404843e-06,6.86262046656338e-06,7.03003615853959e-06,7.53355993765581e-06,8.42272811496514e-06,9.54778442974202e-06,1.07953028418706e-05,1.24122725537745e-05,1.42624671752856e-05,1.69525674209581e-05,2.03330564545467e-05,2.48794603976421e-05,3.12256761390017e-05,3.90183413401246e-05,4.91756873088889e-05,6.40197486063698e-05,9.02375686564483e-05,0.000164681077876594,0.000283633489743806,0.000311081093968824
2009-06-04 22:00:00,1.09999997999211e-09,0.000334657943085404,7.38694461688283e-06,1.20835729831015e-05,1.26110512610467e-05,9.16188537303242e-06,7.29672615307209e-06,6.87075407768134e-06,7.03507225807698e-06,7.5386210482975e-06,8.42598819872364e-06,9.54952656684327e-06,1.07962478068657e-05,1.24128837342141e-05,1.4262609056459e-05,1.69521854331833e-05,2.03319186766748e-05,2.48775468207896e-05,3.12234160446678e-05,3.90161276300205e-05,4.91748469357844e-05,6.40263515379047e-05,9.02733008842915e-05,0.000164812612638343,0.000283946574199945,0.000311186886392534
2009-06-04 23:00:00,1.09999997999211e-09,0.000581629305088427,7.21644028089941e-06,1.19295741569658e-05,1.24815924209543e-05,9.1720335149148e-06,7.31146360521961e-06,6.87750775796303e-06,7.03902833265602e-06,7.54274105929653e-06,8.42840518089361e-06,9.55045061346027e-06,1.07963905975339e-05,1.24126609080122e-05,1.42618996505917e-05,1.69508275575936e-05,2.03296413019416e-05,2.48741880568559e-05,3.12191168632125e-05,3.90110944863409e-05,4.91699847771088e-05,6.40261696389643e-05,9.02908468560781e-05,0.00016485876403749,0.000284109337371774,0.000311257463181391
