"time","tempDegC_total04_1","tempDegC_total04_2","tempDegC_total04_3","tempDegC_total04_4","tempDegC_total04_5","tempDegC_total04_6","tempDegC_total04_7","tempDegC_total04_8","tempDegC_total04_9","tempDegC_total04_10","tempDegC_total04_11","tempDegC_total04_12","tempDegC_total04_13","tempDegC_total04_14","tempDegC_total04_15","tempDegC_total04_16","tempDegC_total04_17","tempDegC_total04_18","tempDegC_total04_19","tempDegC_total04_20","tempDegC_total04_21","tempDegC_total04_22","tempDegC_total04_23","tempDegC_total04_24","tempDegC_total04_25"
2009-06-04 00:00:00,16.35,16.426,16.088,15.789,16.24,16.021,15.903,15.882,15.839,15.826,14.3,14.092,13.73,13.196,12.653,12.356,12.151,12.032,11.839,11.353,11.353,11.353,11.353,11.353,11.353
2009-06-04 01:00:00,16.409,16.48,16.13,15.827,16.27,16.024,15.908,15.909,15.847,15.47,14.129,14.062,13.465,13.072,12.848,12.401,12.204,12.075,11.862,11.386,11.386,11.386,11.386,11.386,11.386
2009-06-04 02:00:00,16.455,16.482,16.195,15.898,16.334,16.052,16.017,15.948,15.891,15.189,14.195,13.997,13.287,12.946,12.823,12.35,12.125,12.085,11.677,11.318,11.318,11.318,11.318,11.318,11.318
2009-06-04 03:00:00,14.38225,14.35625,14.09875,13.84775,14.22775,13.991,16.068,13.85,13.65325,13.09975,12.32125,12.15275,11.57325,11.31775,11.209,12.44675,10.50425,10.43075,10.109,9.81875,9.81875,9.81875,9.81875,9.81875,9.81875
2009-06-04 04:00:00,12.3095,12.2305,12.0025,11.7975,12.1215,11.93,16.119,11.752,11.4155,11.0105,10.4475,10.3085,9.8595,9.6895,9.595,12.5435,8.8835,8.7765,8.541,8.3195,8.3195,8.3195,8.3195,8.3195,8.3195
2009-06-04 05:00:00,10.23675,10.10475,9.90625,9.74725,10.01525,9.869,16.17,9.654,9.17775,8.92125,8.57375,8.46425,8.14575,8.06125,7.981,12.64025,7.26275,7.12225,6.973,6.82025,6.82025,6.82025,6.82025,6.82025,6.82025
2009-06-04 06:00:00,8.164,7.979,7.81,7.697,7.909,7.808,16.221,7.556,6.94,6.832,6.7,6.62,6.432,6.433,6.367,12.737,5.642,5.468,5.405,5.321,5.321,5.321,5.321,5.321,5.321
2009-06-04 07:00:00,17.148,16.772,16.413,16.17,16.608,16.373,16.218,15.714,14.575,14.436,14.048,13.916,13.547,13.538,13.318,12.439,11.82,11.44,11.365,11.171,11.171,11.171,11.171,11.171,11.171
2009-06-04 08:00:00,17.124,16.798,16.469,16.174,16.588,16.241,16.01,15.527,14.679,14.581,14.164,13.747,13.472,13.345,12.726,12.128,11.88,11.534,11.413,11.2,11.2,11.2,11.2,11.2,11.2
2009-06-04 09:00:00,17.793,16.818,16.445,16.133,16.473,16.145,15.759,15.545,14.801,14.459,13.967,13.64,13.298,12.867,12.349,12.088,11.761,11.555,11.412,11.201,11.201,11.201,11.201,11.201,11.201
2009-06-04 10:00:00,17.712,16.803,16.41,16.054,16.41,16.085,15.828,15.658,15.093,14.513,13.971,13.661,13.221,12.52,12.323,12.208,11.944,11.717,11.505,11.117,11.117,11.117,11.117,11.117,11.117
2009-06-04 11:00:00,17.812,16.746,16.371,15.996,16.364,16.05,15.833,15.667,15.316,14.603,14.048,13.703,13.445,12.966,12.51,12.348,11.997,11.661,11.452,11.161,11.161,11.161,11.161,11.161,11.161
2009-06-04 12:00:00,17.687,16.665,16.296,16,16.364,16.074,15.875,15.73,15.439,14.771,14.026,13.705,13.502,13.085,12.473,12.243,12,11.748,11.48,11.13,11.13,11.13,11.13,11.13,11.13
2009-06-04 13:00:00,17.437,16.605,16.273,15.993,16.343,16.076,15.869,15.849,15.659,15.047,13.895,13.7,13.294,12.788,12.566,12.222,11.93,11.65,11.347,11.13,11.13,11.13,11.13,11.13,11.13
2009-06-04 14:00:00,16.971,16.611,16.228,15.956,16.317,16.073,15.846,15.851,15.763,15,13.638,13.556,12.942,12.67,12.474,12.087,11.741,11.485,11.295,11.13,11.13,11.13,11.13,11.13,11.13
2009-06-04 15:00:00,16.659,16.796,16.339,15.901,16.289,16.028,15.876,15.868,15.83,15.285,13.631,13.344,12.728,12.684,12.437,12.05,11.802,11.574,11.437,11.15,11.15,11.15,11.15,11.15,11.15
2009-06-04 16:00:00,16.537,16.73,16.384,15.911,16.279,16.049,15.929,15.898,15.831,14.969,13.582,13.286,12.674,12.621,12.493,12.168,11.894,11.649,11.47,11.19,11.19,11.19,11.19,11.19,11.19
2009-06-04 17:00:00,16.443,16.666,16.419,16.007,16.301,16.08,16.025,15.928,15.857,14.877,13.624,13.415,12.735,12.606,12.395,12.127,11.826,11.563,11.424,11.176,11.176,11.176,11.176,11.176,11.176
2009-06-04 18:00:00,16.287,16.476,16.355,16.083,16.358,16.09,16.013,15.895,15.82,14.715,13.691,13.576,13.142,12.734,12.658,12.223,11.937,11.632,11.441,11.199,11.199,11.199,11.199,11.199,11.199
2009-06-04 19:00:00,16.277,16.503,16.312,16.124,16.634,16.456,16.268,16.041,15.851,14.929,13.861,13.597,13.187,12.919,12.778,12.609,12.298,12.048,11.664,11.302,11.302,11.302,11.302,11.302,11.302
2009-06-04 20:00:00,16.248,16.475,16.279,16.1,16.595,16.428,16.328,16.16,15.836,14.588,14.064,13.903,13.503,13.291,12.924,12.438,12.001,11.757,11.516,11.27,11.27,11.27,11.27,11.27,11.27
2009-06-04 21:00:00,16.242,16.462,16.268,16.06,16.584,16.399,16.311,16.228,15.726,14.978,14.207,13.773,13.366,13.136,12.852,12.299,11.95,11.682,11.472,11.208,11.208,11.208,11.208,11.208,11.208
2009-06-04 22:00:00,16.307,16.508,16.294,16.092,16.588,16.401,16.3,16.159,15.683,15.138,14.032,13.539,13.141,12.979,12.826,12.297,11.934,11.719,11.492,11.228,11.228,11.228,11.228,11.228,11.228
2009-06-04 23:00:00,16.427,16.622,16.371,16.136,16.591,16.409,16.323,16.138,15.788,15.392,14.46,13.649,13.149,12.992,12.706,12.178,11.886,11.704,11.487,11.247,11.247,11.247,11.247,11.247,11.247
2009-06-05 00:00:00,16.754,16.805,16.481,16.236,16.692,16.48,16.326,16.153,15.951,15.734,14.771,13.755,13.314,13,12.558,12.151,11.881,11.766,11.476,11.255,11.255,11.255,11.255,11.255,11.255
