"time","diffM2s-1_1","diffM2s-1_2","diffM2s-1_3","diffM2s-1_4","diffM2s-1_5","diffM2s-1_6","diffM2s-1_7","diffM2s-1_8","diffM2s-1_9","diffM2s-1_10","diffM2s-1_11","diffM2s-1_12","diffM2s-1_13","diffM2s-1_14","diffM2s-1_15","diffM2s-1_16","diffM2s-1_17","diffM2s-1_18","diffM2s-1_19","diffM2s-1_20","diffM2s-1_21","diffM2s-1_22","diffM2s-1_23","diffM2s-1_24","diffM2s-1_25"
2009-06-04 00:00:00,3.71901732737086e-05,3.71901732737086e-05,1.86935083528234e-05,2.03869172257501e-05,2.46161187542869e-05,2.92474516481825e-05,3.19818141673769e-05,2.9777610766513e-05,2.28055435841081e-05,1.71070333821678e-05,1.69621797440521e-05,1.7993963204967e-05,1.90816788295574e-05,2.01565273411357e-05,2.13761472206833e-05,2.28540187817125e-05,2.46635761983004e-05,2.68901043265648e-05,2.96875586169451e-05,3.33728541874769e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 01:00:00,3.71901732737086e-05,3.71901732737086e-05,2.07704140686693e-05,2.0540976906472e-05,2.44983062682119e-05,2.88895063117427e-05,3.13665973949748e-05,2.91057010988607e-05,2.25907995408393e-05,1.72946181044619e-05,1.70282506293053e-05,1.79909218655984e-05,1.90706901222093e-05,2.01539793299226e-05,2.13781744564718e-05,2.2855662212162e-05,2.46621137307118e-05,2.68841802680929e-05,2.96763496179229e-05,3.33554987875445e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 02:00:00,3.71901732737086e-05,3.71901732737086e-05,2.40335723440867e-05,2.08238082628099e-05,2.44114838407495e-05,2.85535280637091e-05,3.07936190336212e-05,2.85134392288204e-05,2.24080927336839e-05,1.74684038445239e-05,1.70967192583605e-05,1.79921448709677e-05,1.90609397627339e-05,2.01511539805966e-05,2.13798179389808e-05,2.28571155896648e-05,2.46606102307557e-05,2.68783064943437e-05,2.96652546165993e-05,3.33383129140872e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 03:00:00,3.71901732737086e-05,3.71901732737086e-05,2.99770605796876e-05,2.12470544366347e-05,2.43659175040856e-05,2.82417914453559e-05,3.02615443823055e-05,2.79872104274881e-05,2.22516812990593e-05,1.76292902386321e-05,1.71667852809379e-05,1.79972530166206e-05,1.90525339121209e-05,2.01481593139724e-05,2.13811025659643e-05,2.28583739093556e-05,2.4659058347625e-05,2.68724780704831e-05,2.96542701950712e-05,3.33212935332051e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 04:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.08128995705284e-05,2.43695423937257e-05,2.79569708096933e-05,2.97685879613619e-05,2.75165768876721e-05,2.21169735781055e-05,1.77781820353956e-05,1.72377901913233e-05,1.80058795442545e-05,1.90455439510527e-05,2.01450969721073e-05,2.13820575400873e-05,2.28594347004511e-05,2.46574512553351e-05,2.68666899805307e-05,2.96433928051895e-05,3.33044375634489e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 05:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.34708575079659e-05,2.43182258607409e-05,2.7694077253013e-05,2.9312457786576e-05,2.70933498128965e-05,2.20002690740414e-05,1.79159702257185e-05,1.73091929603517e-05,1.80176751161948e-05,1.90400118827992e-05,2.0142060916231e-05,2.13827153768707e-05,2.28602979948484e-05,2.46557827889543e-05,2.68609371895326e-05,2.96326187873724e-05,3.32877419092728e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 06:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.77762972860192e-05,2.4531779782638e-05,2.74636051592233e-05,2.88911357288261e-05,2.67109878679387e-05,2.18985667166768e-05,1.80435174962752e-05,1.73805504740596e-05,1.80323107001295e-05,1.90359552576895e-05,2.01391366256816e-05,2.13831109678744e-05,2.28609662271719e-05,2.46540475566426e-05,2.68552147120651e-05,2.96219443926269e-05,3.32712034768769e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 07:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.36941962163354e-05,2.49748339722372e-05,2.72725610404633e-05,2.84886043080353e-05,2.63547580496815e-05,2.18054110988867e-05,1.81598935149063e-05,1.7450329470705e-05,1.80485192436133e-05,1.90325450736628e-05,2.01356843973331e-05,2.13826552083912e-05,2.28608894159409e-05,2.46517392666212e-05,2.68490528460275e-05,2.96109214409406e-05,3.32543730705066e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 08:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,2.55317503126528e-05,2.70859328521187e-05,2.8068408645606e-05,2.59978242788834e-05,2.17085841213226e-05,1.82611111122391e-05,1.7515092164399e-05,1.80634836913417e-05,1.90275949927497e-05,2.01298920121926e-05,2.13797407516518e-05,2.28586144013201e-05,2.46475329127073e-05,2.68412223269791e-05,2.9598374980792e-05,3.32360714615787e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2009-06-04 09:00:00,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.48663333140664e-05,2.6025039240171e-05,2.68780306887825e-05,2.76188732501819e-05,2.562904377528e-05,2.16017091320372e-05,1.83451624978097e-05,1.75728512762821e-05,1.8075607524067e-05,1.90199581467772e-05,2.01208505664203e-05,2.13735531481612e-05,2.28533904857047e-05,2.46407371000548e-05,2.68310795824279e-05,2.95836891146911e-05,3.32156800405873e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
