pond_id,date_time,doy,meta_top,meta_bottom,thermocline,buoy_freq
B,5/22/2020 0:00,143,0.831638359,2,1.75,0.040536423
B,5/22/2020 0:30,143,0.943879453,2,1.75,0.040536423
B,5/22/2020 1:00,143,0.943879453,2,1.75,0.040536423
B,5/22/2020 1:30,143,1.020759763,2,1.75,0.040536423
B,5/22/2020 2:00,143,1.020759763,2,1.75,0.040536423
B,5/22/2020 2:30,143,1.020759763,2,1.75,0.042264853
B,5/22/2020 3:00,143,1.053042764,2,1.75,0.042264853
B,5/22/2020 3:30,143,1.053042764,2,1.75,0.042264853
B,5/22/2020 4:00,143,1.053042764,2,1.75,0.042264853
B,5/22/2020 4:30,143,1.025967303,2,1.75,0.042264853
B,5/22/2020 5:00,143,1.025967303,2,1.75,0.042264853
B,5/22/2020 5:30,143,1.053079844,2,1.75,0.040470126
B,5/22/2020 6:00,143,1.053079844,2,1.75,0.040470126
B,5/22/2020 6:30,143,1.053079844,2,1.75,0.040470126
B,5/22/2020 7:00,143,1.053079844,2,1.75,0.040470126
B,5/22/2020 7:30,143,1.053079844,2,1.75,0.040470126
B,5/22/2020 8:00,143,1.053079844,2,1.75,0.040470126
B,5/22/2020 8:30,143,1.053079844,2,1.75,0.040470126
B,5/22/2020 9:00,143,1.020800149,2,1.75,0.040470126
B,5/22/2020 9:30,143,1.020800149,2,1.75,0.040470126
B,5/22/2020 10:00,143,0.944012132,2,1.75,0.040470126
B,5/22/2020 10:30,143,0.831638359,2,1.75,0.042264853
B,5/22/2020 11:00,143,0.727618823,2,1.75,0.042264853
B,5/22/2020 11:30,143,0,0.613725842,0.125,0.056581772
B,5/22/2020 12:00,143,0,0.593489078,0.125,0.092607789
B,5/22/2020 12:30,143,0,0.620263669,0.125,0.07008309
B,5/22/2020 13:00,143,0,1.5,0.125,0.06169169
B,5/22/2020 13:30,143,0,2,1.75,0.047682657
B,5/22/2020 14:00,143,0,2,0.327724761,0.0722281
B,5/22/2020 14:30,143,0,1.5,0.125,0.053789578
B,5/22/2020 15:00,143,0,2,0.319595393,0.076198436
B,5/22/2020 15:30,143,0,1.5,0.125,0.082856663
B,5/22/2020 16:00,143,0,1.5,0.125,0.050370885
B,5/22/2020 16:30,143,0,2,1.75,0.049492763
B,5/22/2020 17:00,143,0,2,0.343253355,0.064508966
B,5/22/2020 17:30,143,0,2,0.325309872,0.056797344
B,5/22/2020 18:00,143,0,2,1.75,0.047763697
B,5/22/2020 18:30,143,0,2,1.75,0.047763697
B,5/22/2020 19:00,143,0,2,0.347780491,0.053020851
B,5/22/2020 19:30,143,0,2,0.355293298,0.049187914
B,5/22/2020 20:00,143,0,2,0.380618976,0.053020851
B,5/22/2020 20:30,143,0,2,1.75,0.047763697
B,5/22/2020 21:00,143,0,2,0.392157256,0.053020851
B,5/22/2020 21:30,143,0,2,0.38578886,0.052964039
B,5/22/2020 22:00,143,0,2,1.75,0.047763697
B,5/22/2020 22:30,143,0,2,1.75,0.047763697
B,5/22/2020 23:00,143,0,2,1.75,0.047763697
B,5/22/2020 23:30,143,0,2,1.75,0.047763697
B,5/23/2020 0:00,144,0,2,1.75,0.047763697
B,5/23/2020 0:30,144,0,2,1.75,0.047763697
B,5/23/2020 1:00,144,0.204215666,2,1.75,0.047763697
B,5/23/2020 1:30,144,0.204215666,2,1.75,0.047763697
B,5/23/2020 2:00,144,0.204215666,2,1.75,0.047682657
B,5/23/2020 2:30,144,0.204215666,2,1.75,0.047682657
B,5/23/2020 3:00,144,0,2,1.75,0.047682657
B,5/23/2020 3:30,144,0.204215666,2,1.75,0.047682657
B,5/23/2020 4:00,144,0.220111215,2,1.75,0.047682657
B,5/23/2020 4:30,144,0.158451436,2,1.75,0.04595375
B,5/23/2020 5:00,144,0.158318278,2,1.75,0.047682657
B,5/23/2020 5:30,144,0.431582619,2,1.75,0.047682657
B,5/23/2020 6:00,144,0.191312199,2,1.75,0.047682657
B,5/23/2020 6:30,144,0.431582619,2,1.75,0.04595375
B,5/23/2020 7:00,144,0,2,1.75,0.047682657
B,5/23/2020 7:30,144,0.442936582,2,1.75,0.047682657
B,5/23/2020 8:00,144,0,2,1.75,0.047682657
B,5/23/2020 8:30,144,0.650426837,2,1.75,0.04595375
B,5/23/2020 9:00,144,0,2,1.75,0.047682657
B,5/23/2020 9:30,144,0.259922136,2,1.75,0.047682657
B,5/23/2020 10:00,144,0,2,1.75,0.047682657
B,5/23/2020 10:30,144,0,1.5,0.125,0.102099721
B,5/23/2020 11:00,144,0,2,1.75,0.049492763
B,5/23/2020 11:30,144,0,2,1.75,0.049492763
B,5/23/2020 12:00,144,0,2,1.75,0.051306702
B,5/23/2020 12:30,144,0,2,1.75,0.051306702
B,5/23/2020 13:00,144,0,2,1.75,0.051306702
B,5/23/2020 13:30,144,0,2,1.75,0.051395085
B,5/23/2020 14:00,144,0,2,0.654712633,0.022911833
B,5/23/2020 14:30,144,0,1.5,0.125,0.071499173
B,5/23/2020 15:00,144,0,1.5,0.125,0.112182779
B,5/23/2020 15:30,144,0,1.5,0.125,0.103994149
B,5/23/2020 16:00,144,0,1.5,0.125,0.089021377
B,5/23/2020 16:30,144,0,1.5,0.125,0.085957452
B,5/23/2020 17:00,144,0,1.5,0.125,0.097335156
B,5/23/2020 17:30,144,0,1.5,0.125,0.115727067
B,5/23/2020 18:00,144,0,1.5,0.125,0.098520366
B,5/23/2020 18:30,144,0,1.5,0.125,0.114791155
B,5/23/2020 19:00,144,0,1.5,0.125,0.085416167
B,5/23/2020 19:30,144,0,1.5,0.125,0.084875781
B,5/23/2020 20:00,144,0,1.5,0.125,0.068272948
B,5/23/2020 20:30,144,0,2,1.75,0.056892274
B,5/23/2020 21:00,144,0,2,1.75,0.056892274
B,5/23/2020 21:30,144,0,2,1.75,0.056892274
B,5/23/2020 22:00,144,0,2,1.75,0.056892274
B,5/23/2020 22:30,144,0,2,1.75,0.056892274
B,5/23/2020 23:00,144,0,2,1.75,0.056892274
B,5/23/2020 23:30,144,0,2,1.75,0.056892274
B,5/24/2020 0:00,145,0,2,1.75,0.056892274
B,5/24/2020 0:30,145,0.163918483,2,1.75,0.055063149
B,5/24/2020 1:00,145,0,2,1.75,0.055063149
B,5/24/2020 1:30,145,0.141230637,2,1.75,0.055063149
B,5/24/2020 2:00,145,0.146649181,2,1.75,0.055063149
B,5/24/2020 2:30,145,0,2,1.75,0.055063149
B,5/24/2020 3:00,145,0.157527431,2,1.75,0.055063149
B,5/24/2020 3:30,145,0.157680032,2,1.75,0.055063149
B,5/24/2020 4:00,145,0.190417575,2,1.75,0.055063149
B,5/24/2020 4:30,145,0.190533039,2,1.75,0.055063149
B,5/24/2020 5:00,145,0.391408243,2,1.75,0.055063149
B,5/24/2020 5:30,145,0.190649051,2,1.75,0.053237846
B,5/24/2020 6:00,145,0.396875872,2,1.75,0.053237846
B,5/24/2020 6:30,145,0,2,1.75,0.053237846
B,5/24/2020 7:00,145,0.190765616,2,1.75,0.053237846
B,5/24/2020 7:30,145,0.190765616,2,1.75,0.053237846
B,5/24/2020 8:00,145,0.407779415,2,1.75,0.053237846
B,5/24/2020 8:30,145,0.407838057,2,1.75,0.053237846
B,5/24/2020 9:00,145,0.407838057,2,1.75,0.053237846
B,5/24/2020 9:30,145,0.440238093,2,1.75,0.053237846
B,5/24/2020 10:00,145,0.640369514,2,1.75,0.053237846
B,5/24/2020 10:30,145,0.640341603,2,1.75,0.053237846
B,5/24/2020 11:00,145,0.640341603,2,1.75,0.053237846
B,5/24/2020 11:30,145,0,2,1.75,0.053237846
B,5/24/2020 12:00,145,0,2,1.75,0.053237846
B,5/24/2020 12:30,145,0,2,1.75,0.055063149
B,5/24/2020 13:00,145,0,2,1.75,0.055063149
B,5/24/2020 13:30,145,0.636614744,2,1.75,0.056892274
B,5/24/2020 14:00,145,0,0.620794958,0.357971675,0.067238787
B,5/24/2020 14:30,145,0,2,0.356411592,0.083670691
B,5/24/2020 15:00,145,0,2,0.32984732,0.084406868
B,5/24/2020 15:30,145,0,1.5,0.125,0.066223699
B,5/24/2020 16:00,145,0,2,1.75,0.062424102
B,5/24/2020 16:30,145,0,2,0.279071067,0.072381398
B,5/24/2020 17:00,145,0,2,1.75,0.064268532
B,5/24/2020 17:30,145,0,2,1.75,0.064268532
B,5/24/2020 18:00,145,0,2,0.372990852,0.067984862
B,5/24/2020 18:30,145,0,2,0.373555357,0.067865111
B,5/24/2020 19:00,145,0,2,0.379152242,0.067865111
B,5/24/2020 19:30,145,0,2,0.39307323,0.071904937
B,5/24/2020 20:00,145,0,2,1.75,0.060690032
B,5/24/2020 20:30,145,0,2,1.75,0.060690032
B,5/24/2020 21:00,145,0,2,1.75,0.060690032
B,5/24/2020 21:30,145,0,2,1.75,0.060690032
B,5/24/2020 22:00,145,0.153767318,2,1.75,0.060690032
B,5/24/2020 22:30,145,0.153767318,2,1.75,0.060690032
B,5/24/2020 23:00,145,0,2,1.75,0.060690032
B,5/24/2020 23:30,145,0.153767318,2,1.75,0.060690032
B,5/25/2020 0:00,146,0.153767318,2,1.75,0.060690032
B,5/25/2020 0:30,146,0.134037984,2,1.75,0.060690032
B,5/25/2020 1:00,146,0.13405317,2,1.75,0.060690032
B,5/25/2020 1:30,146,0.13405317,2,1.75,0.060690032
B,5/25/2020 2:00,146,0.135573894,2,1.75,0.058828073
B,5/25/2020 2:30,146,0,2,1.75,0.058828073
B,5/25/2020 3:00,146,0.137689499,2,1.75,0.058828073
B,5/25/2020 3:30,146,0.140903175,2,1.75,0.058828073
B,5/25/2020 4:00,146,0.140903175,2,1.75,0.058828073
B,5/25/2020 4:30,146,0,2,1.75,0.058828073
B,5/25/2020 5:00,146,0.140930086,2,1.75,0.058828073
B,5/25/2020 5:30,146,0.146237465,2,1.75,0.058828073
B,5/25/2020 6:00,146,0.146237465,2,1.75,0.058828073
B,5/25/2020 6:30,146,0,2,1.75,0.058828073
B,5/25/2020 7:00,146,0,2,1.75,0.058828073
B,5/25/2020 7:30,146,0,2,1.75,0.058828073
B,5/25/2020 8:00,146,0,2,1.75,0.058828073
B,5/25/2020 8:30,146,0,2,1.75,0.058828073
B,5/25/2020 9:00,146,0,2,1.75,0.058828073
B,5/25/2020 9:30,146,0,2,1.75,0.060690032
B,5/25/2020 10:00,146,0,2,1.75,0.060690032
B,5/25/2020 10:30,146,0,2,1.75,0.060690032
B,5/25/2020 11:00,146,0,1.5,0.125,0.074519736
B,5/25/2020 11:30,146,0,2,0.740522072,0.039700647
B,5/25/2020 12:00,146,0,0.373718849,0.125,0.197026502
B,5/25/2020 12:30,146,0,2,0.727618478,0.03981788
B,5/25/2020 13:00,146,0,2,0.71465253,0.043975579
B,5/25/2020 13:30,146,0,1.5,0.125,0.104934962
B,5/25/2020 14:00,146,0,1.5,0.125,0.106518074
B,5/25/2020 14:30,146,0,1.5,0.125,0.203139934
B,5/25/2020 15:00,146,0,1.5,0.125,0.102356449
B,5/25/2020 15:30,146,0,1.5,0.125,0.12157406
B,5/25/2020 16:00,146,0,1.5,0.125,0.156721674
B,5/25/2020 16:30,146,0,2,0.588880497,0.048432269
B,5/25/2020 17:00,146,0,1.5,0.125,0.139292981
B,5/25/2020 17:30,146,0,1.5,0.125,0.103016708
B,5/25/2020 18:00,146,0,1.5,0.125,0.098212294
B,5/25/2020 18:30,146,0,2,1.75,0.071812714
B,5/25/2020 19:00,146,0,2,1.75,0.071812714
B,5/25/2020 19:30,146,0,2,1.75,0.071812714
B,5/25/2020 20:00,146,0,2,1.75,0.071812714
B,5/25/2020 20:30,146,0.135165155,2,1.75,0.071812714
B,5/25/2020 21:00,146,0.137215075,2,1.75,0.071812714
B,5/25/2020 21:30,146,0,2,1.75,0.073679796
B,5/25/2020 22:00,146,0.140319159,2,1.75,0.070094075
B,5/25/2020 22:30,146,0,2,1.75,0.070094075
B,5/25/2020 23:00,146,0.155732387,2,1.75,0.070094075
B,5/25/2020 23:30,146,0.145465227,2,1.75,0.070094075
B,5/26/2020 0:00,147,0.155604089,2,1.75,0.070094075
B,5/26/2020 0:30,147,0.186257958,2,1.75,0.070094075
B,5/26/2020 1:00,147,0.186357868,2,1.75,0.070094075
B,5/26/2020 1:30,147,0,2,1.75,0.070094075
B,5/26/2020 2:00,147,0.186458213,2,1.75,0.070094075
B,5/26/2020 2:30,147,0.187278394,2,1.75,0.070094075
B,5/26/2020 3:00,147,0.187017236,2,1.75,0.070094075
B,5/26/2020 3:30,147,0.186760123,2,1.75,0.070094075
B,5/26/2020 4:00,147,0.383940363,2,1.75,0.071812714
B,5/26/2020 4:30,147,0.187585169,2,1.75,0.068230952
B,5/26/2020 5:00,147,0.38543035,2,1.75,0.068230952
B,5/26/2020 5:30,147,0.186963605,2,1.75,0.068230952
B,5/26/2020 6:00,147,0.387541457,2,1.75,0.068230952
B,5/26/2020 6:30,147,0.387541457,2,1.75,0.068230952
B,5/26/2020 7:00,147,0.387541457,2,1.75,0.068230952
B,5/26/2020 7:30,147,0.187791936,2,1.75,0.068230952
B,5/26/2020 8:00,147,0,2,1.75,0.068230952
B,5/26/2020 8:30,147,0,2,1.75,0.068230952
B,5/26/2020 9:00,147,0,2,1.75,0.068230952
B,5/26/2020 9:30,147,0,2,1.75,0.068230952
B,5/26/2020 10:00,147,0,2,1.75,0.070094075
B,5/26/2020 10:30,147,0,2,1.75,0.070094075
B,5/26/2020 11:00,147,0,2,1.75,0.070094075
B,5/26/2020 11:30,147,0,2,1.75,0.070094075
B,5/26/2020 12:00,147,0,1.5,0.125,0.080101307
B,5/26/2020 12:30,147,0,1.5,0.125,0.084380713
B,5/26/2020 13:00,147,0,1.5,0.125,0.216248928
B,5/26/2020 13:30,147,0,1.5,0.125,0.138637337
B,5/26/2020 14:00,147,0,1.5,0.125,0.107248006
B,5/26/2020 14:30,147,0,1.5,0.125,0.144401883
B,5/26/2020 15:00,147,0,1.5,0.125,0.094425242
B,5/26/2020 15:30,147,0,1.5,0.125,0.090031006
B,5/26/2020 16:00,147,0,2,1.75,0.077606494
B,5/26/2020 16:30,147,0,2,1.75,0.077606494
B,5/26/2020 17:00,147,0,2,1.75,0.077606494
B,5/26/2020 17:30,147,0,2,1.75,0.077606494
B,5/26/2020 18:00,147,0.183678706,2,0.425060591,0.085119092
B,5/26/2020 18:30,147,0,2,1.75,0.077606494
B,5/26/2020 19:00,147,0,2,1.75,0.077606494
B,5/26/2020 19:30,147,0,2,1.75,0.077606494
B,5/26/2020 20:00,147,0,2,1.75,0.077606494
B,5/26/2020 20:30,147,0,2,1.75,0.077606494
B,5/26/2020 21:00,147,0,2,1.75,0.077606494
B,5/26/2020 21:30,147,0,2,1.75,0.077606494
B,5/26/2020 22:00,147,0.135039362,2,1.75,0.077606494
B,5/26/2020 22:30,147,0.137056769,2,1.75,0.077606494
B,5/26/2020 23:00,147,0.137061917,2,1.75,0.075728157
B,5/26/2020 23:30,147,0,2,1.75,0.075728157
B,5/27/2020 0:00,148,0,2,1.75,0.075728157
B,5/27/2020 0:30,148,0.15531031,2,1.75,0.075728157
B,5/27/2020 1:00,148,0.155358893,2,1.75,0.075728157
B,5/27/2020 1:30,148,0.155358893,2,1.75,0.075728157
B,5/27/2020 2:00,148,0.185766512,2,1.75,0.075728157
B,5/27/2020 2:30,148,0.185864302,2,1.75,0.075728157
B,5/27/2020 3:00,148,0.186316658,2,1.75,0.075728157
B,5/27/2020 3:30,148,0.38525753,2,1.75,0.075728157
B,5/27/2020 4:00,148,0.186774153,2,1.75,0.075728157
B,5/27/2020 4:30,148,0.186158479,2,1.75,0.075728157
B,5/27/2020 5:00,148,0.186158479,2,1.75,0.075728157
B,5/27/2020 5:30,148,0.186257958,2,1.75,0.073853608
B,5/27/2020 6:00,148,0.186257958,2,1.75,0.073853608
B,5/27/2020 6:30,148,0.390443889,2,1.75,0.073853608
B,5/27/2020 7:00,148,0,2,1.75,0.073853608
B,5/27/2020 7:30,148,0.186357868,2,1.75,0.073853608
B,5/27/2020 8:00,148,0.186357868,2,1.75,0.073853608
B,5/27/2020 8:30,148,0,2,1.75,0.073853608
B,5/27/2020 9:00,148,0,2,1.75,0.073853608
B,5/27/2020 9:30,148,0,2,1.75,0.075728157
B,5/27/2020 10:00,148,0,2,1.75,0.075728157
B,5/27/2020 10:30,148,0,2,1.75,0.075728157
B,5/27/2020 11:00,148,0,2,1.75,0.073985233
B,5/27/2020 11:30,148,0,2,1.75,0.075728157
B,5/27/2020 12:00,148,0,2,1.75,0.073985233
B,5/27/2020 12:30,148,0,2,1.75,0.073985233
B,5/27/2020 13:00,148,0,2,1.75,0.075863405
B,5/27/2020 13:30,148,0,2,1.75,0.075863405
B,5/27/2020 14:00,148,0,1.5,0.125,0.091224739
B,5/27/2020 14:30,148,0,1.5,0.125,0.086986959
B,5/27/2020 15:00,148,0,1.5,0.125,0.114347933
B,5/27/2020 15:30,148,0,1.5,0.125,0.10080044
B,5/27/2020 16:00,148,0,1.5,0.125,0.092675304
B,5/27/2020 16:30,148,0,1.5,0.125,0.111848411
B,5/27/2020 17:00,148,0,1.5,0.125,0.121079843
B,5/27/2020 17:30,148,0,1.5,0.125,0.102864355
B,5/27/2020 18:00,148,0,1.5,0.125,0.102381389
B,5/27/2020 18:30,148,0,1.5,0.125,0.088531665
B,5/27/2020 19:00,148,0,2,1.75,0.083413934
B,5/27/2020 19:30,148,0,2,1.75,0.083413934
B,5/27/2020 20:00,148,0,2,1.75,0.083413934
B,5/27/2020 20:30,148,0,2,1.75,0.083413934
B,5/27/2020 21:00,148,0,2,1.75,0.083413934
B,5/27/2020 21:30,148,0,2,1.75,0.083413934
