doy,pond,secchi
142,A,NA
142,B,NA
142,C,NA
142,D,NA
142,E,NA
142,F,NA
143,A,1
143,B,1.35
143,C,2.1
143,D,1.15
143,E,1.4
143,F,2.2
144,A,1.6
144,B,1.4
144,C,2.1
144,D,1.4
144,E,1.5
144,F,2.1
145,A,1.5
145,B,1.5
145,C,2.1
145,D,1.4
145,E,1.2
145,F,2.2
146,A,1.4
146,B,1.55
146,C,2.18
146,D,1.4
146,E,1.25
146,F,2.1
147,A,1.5
147,B,1.3
147,C,2.1
147,D,1.5
147,E,1.1
147,F,2.1
148,A,1.55
148,B,1.3
148,C,2
148,D,1.8
148,E,1.3
148,F,2.1
149,A,1.55
149,B,1.4
149,C,2.1
149,D,1.9
149,E,1.4
149,F,2.1
150,A,1.6
150,B,1.7
150,C,2.1
150,D,2
150,E,2.05
150,F,2.1
151,A,1.5
151,B,1.7
151,C,2.1
151,D,2
151,E,2
151,F,2.1
152,A,1.6
152,B,1.6
152,C,2.05
152,D,1.95
152,E,2
152,F,2.1
153,A,1.6
153,B,1.8
153,C,1.9
153,D,1.96
153,E,2
153,F,2.05
154,A,1.6
154,B,1.75
154,C,1.8
154,D,1.8
154,E,1.9
154,F,2
155,A,1.5
155,B,1.7
155,C,1.75
155,D,1.85
155,E,1.9
155,F,2
156,A,1.3
156,B,1.6
156,C,1.95
156,D,1.85
156,E,1.9
156,F,2
157,A,1.55
157,B,1.85
157,C,1.9
157,D,1.8
157,E,1.85
157,F,2
158,A,1.5
158,B,1.8
158,C,1.9
158,D,1.8
158,E,1.85
158,F,2
159,A,1.6
159,B,1.9
159,C,1.9
159,D,1.8
159,E,1.85
159,F,1.85
160,A,1.7
160,B,1.9
160,C,1.7
160,D,1.73
160,E,1.6
160,F,1.95
161,A,1.65
161,B,1.6
161,C,1.85
161,D,1.6
161,E,1.7
161,F,1.9
162,A,1.75
162,B,1.9
162,C,1.83
162,D,1.7
162,E,1.7
162,F,1.8
163,A,1.8
163,B,2
163,C,1.83
163,D,1.66
163,E,1.78
163,F,1.91
164,A,1.6
164,B,1.8
164,C,1.8
164,D,1.64
164,E,1.75
164,F,1.9
165,A,1.6
165,B,1.85
165,C,1.8
165,D,1.65
165,E,1.75
165,F,1.9
166,A,1.6
166,B,1.7
166,C,1.8
166,D,1.6
166,E,1.7
166,F,1.75
167,A,1.5
167,B,1.8
167,C,1.75
167,D,1.6
167,E,1.7
167,F,1.86
168,A,1.44
168,B,1.9
168,C,1.74
168,D,1.59
168,E,1.68
168,F,1.85
169,A,1.45
169,B,1.8
169,C,1.55
169,D,1.66
169,E,1.67
169,F,1.84
170,A,1.45
170,B,1.75
170,C,1.73
170,D,1.55
170,E,1.65
170,F,1.83
171,A,1.5
171,B,1.65
171,C,1.74
171,D,1.45
171,E,1.64
171,F,1.6
172,A,1.45
172,B,1.6
172,C,1.7
172,D,1.55
172,E,1.65
172,F,1.6
173,A,1.4
173,B,1.55
173,C,1.7
173,D,1.35
173,E,1.45
173,F,1.8
174,A,1.3
174,B,1.6
174,C,1.7
174,D,1.35
174,E,1.5
174,F,1.5
175,A,1.4
175,B,1.75
175,C,1.74
175,D,1.59
175,E,1.67
175,F,1.6
176,A,1.5
176,B,1.7
176,C,1.73
176,D,1.5
176,E,1.65
176,F,1.74
177,A,NA
177,B,NA
177,C,NA
177,D,NA
177,E,NA
177,F,NA
178,A,1.35
178,B,1.55
178,C,1.73
178,D,1.15
178,E,1.25
178,F,1.48
179,A,1.3
179,B,1.55
179,C,1.7
179,D,1.5
179,E,1.4
179,F,1.35
180,A,1.35
180,B,1.5
180,C,1.8
180,D,1.4
180,E,1.45
180,F,1.55
181,A,1.25
181,B,1.45
181,C,1.7
181,D,1.45
181,E,1.5
181,F,1.5
182,A,1.28
182,B,1.43
182,C,1.68
182,D,1.37
182,E,1.3
182,F,1.55
183,A,1.3
183,B,1.6
183,C,1.68
183,D,1.36
183,E,1.4
183,F,1.44
184,A,1.32
184,B,1.63
184,C,1.66
184,D,1.3
184,E,1.44
184,F,1.44
185,A,1.3
185,B,1.6
185,C,1.65
185,D,0.9
185,E,1.5
185,F,1.47
186,A,1.3
186,B,1.6
186,C,1.7
186,D,1
186,E,1.5
186,F,1.45
187,A,1.3
187,B,1.45
187,C,1.6
187,D,1.1
187,E,1.5
187,F,1.4
188,A,1.25
188,B,1.56
188,C,1.54
188,D,1.25
188,E,1.3
188,F,1.45
189,A,1.3
189,B,1.54
189,C,1.55
189,D,1.1
189,E,1.7
189,F,1.33
190,A,1.12
190,B,1.63
190,C,1.46
190,D,1.27
190,E,1.28
190,F,1.4
191,A,1.15
191,B,1.63
191,C,1.46
191,D,1.27
191,E,1.28
191,F,1.4
192,A,1.03
192,B,1.52
192,C,1.25
192,D,1.16
192,E,1.24
192,F,1.23
193,A,1.3
193,B,1.4
193,C,1.2
193,D,1
193,E,1.6
193,F,1.4
194,A,0.9
194,B,1.5
194,C,1.45
194,D,1.25
194,E,1.35
194,F,1.35
195,A,0.76
195,B,1.47
195,C,1.3
195,D,0.87
195,E,1.16
195,F,1.55
196,A,0.8
196,B,1.46
196,C,1.47
196,D,0.9
196,E,1.36
196,F,1.38
197,A,0.77
197,B,1.2
197,C,1.3
197,D,1.15
197,E,1.17
197,F,1.34
198,A,0.9
198,B,1.35
198,C,1.4
198,D,1.35
198,E,1
198,F,1.5
199,A,0.95
199,B,1.4
199,C,1.4
199,D,1.15
199,E,1.1
199,F,1.4
200,A,0.9
200,B,1.3
200,C,1.5
200,D,1.1
200,E,1.25
200,F,1.45
201,A,1.25
201,B,1.5
201,C,1.45
201,D,1.3
201,E,1.4
201,F,1.5
202,A,0.84
202,B,1.38
202,C,1.44
202,D,1.08
202,E,1.1
202,F,1.33
203,A,0.52
203,B,1.48
203,C,1.45
203,D,1.28
203,E,1.15
203,F,1.48
204,A,0.7
204,B,1.68
204,C,1.52
204,D,0.87
204,E,1.31
204,F,1.4
205,A,0.78
205,B,1.64
205,C,1.55
205,D,1.07
205,E,1.32
205,F,1.35
206,A,0.84
206,B,1.6
206,C,1.52
206,D,1.16
206,E,1.31
206,F,1.43
207,A,1.1
207,B,1.5
207,C,1.4
207,D,1.25
207,E,1.25
207,F,1.4
208,A,1.1
208,B,1.4
208,C,1.3
208,D,1.1
208,E,1.1
208,F,1.3
209,A,1.01
209,B,1.4
209,C,1.28
209,D,1.18
209,E,1.2
209,F,1.25
210,A,1.05
210,B,1.52
210,C,1.51
210,D,0.9
210,E,1.14
210,F,1.3
211,A,1.2
211,B,1.35
211,C,1.34
211,D,1.1
211,E,1.2
211,F,1.45
212,A,1.08
212,B,1.1
212,C,1.23
212,D,1.2
212,E,1.26
212,F,1.4
213,A,1.14
213,B,0.97
213,C,1.15
213,D,1.11
213,E,1.24
213,F,1.18
214,A,1.3
214,B,1.25
214,C,1.15
214,D,1.2
214,E,1.25
214,F,1.35
215,A,1.3
215,B,1.2
215,C,1.05
215,D,1.2
215,E,1.2
215,F,1.25
216,A,1.03
216,B,0.82
216,C,1
216,D,1.1
216,E,1.29
216,F,1.23
217,A,1.18
217,B,1.2
217,C,1.12
217,D,1.34
217,E,1.45
217,F,1.2
218,A,1.28
218,B,1.25
218,C,1.16
218,D,1.2
218,E,1.4
218,F,1.33
219,A,1.47
219,B,1.3
219,C,1.42
219,D,1.31
219,E,1.45
219,F,1.14
220,A,1.35
220,B,1.17
220,C,1.4
220,D,1.25
220,E,1.45
220,F,1.35
221,A,1.2
221,B,1.25
221,C,1.2
221,D,1.2
221,E,1.25
221,F,1.35
222,A,1.4
222,B,1.25
222,C,1.3
222,D,1.1
222,E,1.25
222,F,1.5
223,A,1.55
223,B,1.35
223,C,1.5
223,D,1.25
223,E,1.4
223,F,1.65
224,A,1.2
224,B,1.1
224,C,1.1
224,D,1.05
224,E,1.2
224,F,1.4
225,A,1.2
225,B,1.3
225,C,1.25
225,D,1.25
225,E,1.4
225,F,1.65
226,A,1.1
226,B,1.25
226,C,1.3
226,D,1.15
226,E,1.35
226,F,1.6
227,A,1.1
227,B,1.3
227,C,1.3
227,D,1.2
227,E,1.3
227,F,1.6
228,A,1.1
228,B,1.23
228,C,1.43
228,D,1.13
228,E,1.4
228,F,1.5
229,A,1.1
229,B,1.15
229,C,1.1
229,D,0.9
229,E,1.2
229,F,1.25
230,A,0.9
230,B,1.25
230,C,1.15
230,D,1.2
230,E,1.35
230,F,1.25
231,A,0.95
231,B,0.95
231,C,1.05
231,D,1.25
231,E,1.4
231,F,1.25
232,A,1.05
232,B,1.1
232,C,1.1
232,D,1.2
232,E,1.4
232,F,1.45
233,A,0.9
233,B,1.1
233,C,1.15
233,D,1.3
233,E,1.4
233,F,1.6
234,A,1.25
234,B,1.2
234,C,1.3
234,D,1.25
234,E,1.4
234,F,1.6
235,A,1.3
235,B,1.33
235,C,1.44
235,D,1.35
235,E,1.4
235,F,1.6
236,A,1.2
236,B,1.35
236,C,1.55
236,D,1.4
236,E,1.4
236,F,1.4
237,A,1.25
237,B,1.4
237,C,1.5
237,D,1.35
237,E,1.35
237,F,1.4
238,A,1.3
238,B,1.4
238,C,1.45
238,D,1.2
238,E,1.25
238,F,1.4
239,A,1.25
239,B,1.45
239,C,1.5
239,D,1.25
239,E,1.35
239,F,1.58
240,A,1.2
240,B,1.3
240,C,1.35
240,D,1.2
240,E,1.1
240,F,1.45
241,A,0.9
241,B,1.3
241,C,1.3
241,D,1.15
241,E,1.2
241,F,1.35

